              i           c_Id    mStart      mEnd            aDD            aDA            TDM
            127          55002        55        55        1.00000        0.00472        0.58653
            128          56001        56        56        1.00000        0.00827        1.35078
            129          56002        56        56        1.00000        0.00472        0.57207
            130          57001        57        57        1.00000        0.03740        5.07133
            131          58001        58        58        1.00000        0.00630        1.29862
            132          59001        59        59        1.00000        0.00512        1.44447
            133          59002        59        59        1.00000        0.00984        2.42479
            134          60001        60        60        1.00000        0.00787        2.32619
            135          60002        60        60        1.00000        0.01654        4.38549
            136          61001        61        61        1.00000        0.01260        2.69416
            137          61002        61        61        1.00000        0.01063        3.08621
            138          61003        61        61        1.00000        0.00472        0.61281
            139          62001        62        62        1.00000        0.01457        3.46704
            140          62002        62        62        1.00000        0.00827        1.98661
            141          63001        63        63        1.00000        0.01102        2.68775
            142          63002        63        63        1.00000        0.00787        1.60865
            143          64001        64        64        1.00000        0.00827        1.25640
            144          64002        64        64        1.00000        0.01890        1.78724
            145          64003        64        64        1.00000        0.00669        1.29730
            146          65001        65        65        1.00000        0.01181        1.06980
            147          65002        65        65        1.00000        0.00787        1.56439
            148          66001        66        66        1.00000        0.02756        4.41207
            149          66002        66        66        1.00000        0.00827        2.36084
            150          67001        67        67        1.00000        0.00827        2.08222
            151          68001        68        68        1.00000        0.00945        0.66258
            152          68002        68        68        1.00000        0.01102        2.48651
            153          69001        69        69        1.00000        0.01969        3.22559
            154          69002        69        69        1.00000        0.00866        1.40937
            155          70002        70        70        1.00000        0.02559        3.88529
            156          71002        71        71        1.00000        0.00748        0.72325
            157          72001        70        72        1.75915        0.07572       46.76369
            158          73001        73        73        1.00000        0.00866        2.39891
            159          75001        75        75        1.00000        0.01102        1.85724
            160          75002        75        75        1.00000        0.02205        4.27994
            161          75003        75        75        1.00000        0.00709        0.88418
            162          76001        76        76        1.00000        0.06102       12.74436
            163          76002        76        76        1.00000        0.00512        0.72157
            164          77001        77        77        1.00000        0.01063        1.08242
            165          77002        77        77        1.00000        0.00472        0.78779
            166          78001        78        78        1.00000        0.00866        1.28152
            167          78002        78        78        1.00000        0.00512        0.83998
            168          79001        79        79        1.00000        0.00630        1.22929
            169          80001        80        80        1.00000        0.00551        0.72143
            170          80002        80        80        1.00000        0.00709        1.35252
            171          81001        81        81        1.00000        0.00984        1.83063
            172          81002        81        81        1.00000        0.00591        1.07844
            173          82001        82        82        1.00000        0.00433        0.47321
            174          83001        83        83        1.00000        0.00787        0.84659
            175          83002        83        83        1.00000        0.00669        0.48486
            176          83003        83        83        1.00000        0.01811        2.62900
            177          84001        84        84        1.00000        0.00945        0.73679
            178          84002        84        84        1.00000        0.07598       10.06155
            179          85001        85        85        1.00000        0.00787        0.59268
            180          85002        85        85        1.00000        0.00591        0.67192
            181          85003        85        85        1.00000        0.01378        1.16256
            182          86001        86        86        1.00000        0.00433        0.87389
            183          87001        87        87        1.00000        0.00827        0.98752
            184          87002        87        87        1.00000        0.00630        0.55725
            185          87003        87        87        1.00000        0.00551        1.37117
            186          88001        88        88        1.00000        0.00591        1.04198
            187          88002        88        88        1.00000        0.01732        3.27490
            188          88003        88        88        1.00000        0.04055        8.35988
            189          88004        88        88        1.00000        0.00512        0.26299
            190          89002        89        89        1.00000        0.00827        2.12548
            191          89003        89        89        1.00000        0.01693        4.46814
            192          89004        89        89        1.00000        0.00433        0.73864
            193          90002        90        90        1.00000        0.01260        2.19116
            194          91001        91        91        1.00000        0.01654        2.38991
            195          91002        91        91        1.00000        0.00787        0.84128
            196          91003        89        91        1.72461        0.21614      135.90383
            197          91004        91        91        1.00000        0.01024        0.91125
            198          91005        91        91        1.00000        0.00512        0.97827
            199          92001        92        92        1.00000        0.00748        0.72722
            200          92002        92        92        1.00000        0.02441        3.10047
            201          92003        92        92        1.00000        0.00630        0.80594
            202          92004        92        92        1.00000        0.01063        0.73413
            203          92005        92        92        1.00000        0.06260        6.47230
            204          92006        92        92        1.00000        0.00551        1.02375
            205          93001        93        93        1.00000        0.06575        8.14571
            206          93002        93        93        1.00000        0.01024        1.18738
            207          93003        93        93        1.00000        0.02323        1.56838
            208          93004        93        93        1.00000        0.01063        1.10053
            209          93005        93        93        1.00000        0.00630        1.47162
            210          94001        94        94        1.00000        0.01220        2.15673
            211          94002        94        94        1.00000        0.00827        0.83806
            212          94003        94        94        1.00000        0.00433        1.05302
            213          95001        95        95        1.00000        0.00591        0.99153
            214          96001        96        96        1.00000        0.00512        0.90726
            215          97001        97        97        1.00000        0.00433        0.83380
            216          98001        98        98        1.00000        0.00512        1.03142
            217          99001        99        99        1.00000        0.00551        1.23386
            218         100001       100       100        1.00000        0.00433        0.66578
            219         100002       100       100        1.00000        0.00669        2.09637
            220         101002       101       101        1.00000        0.00433        1.50355
            221         101003       101       101        1.00000        0.00787        2.01229
            222         101004       101       101        1.00000        0.00827        1.34889
            223         101005       101       101        1.00000        0.00709        2.09163
            224         102002       102       102        1.00000        0.00669        1.53525
            225         103002       103       103        1.00000        0.00669        1.78891
            226         104002       104       104        1.00000        0.00669        1.65230
            227         105002       105       105        1.00000        0.00551        0.83837
            228         105003       105       105        1.00000        0.00433        0.30940
            229         105004       105       105        1.00000        0.00669        1.78937
            230         106002       106       106        1.00000        0.02008        2.42707
            231         106003       106       106        1.00000        0.00512        0.72913
            232         107002       107       107        1.00000        0.01339        2.20948
            233         107003       107       107        1.00000        0.00551        0.53493
            234         107005       107       107        1.00000        0.01457        3.10031
            235         108002       108       108        1.00000        0.01850        4.27454
            236         108003       108       108        1.00000        0.03307        7.22823
            237         108004       108       108        1.00000        0.00709        1.07008
            238         108005       108       108        1.00000        0.00787        1.30720
            239         109002       109       109        1.00000        0.02441        6.75710
            240         109003       109       109        1.00000        0.01693        3.62858
            241         109004       109       109        1.00000        0.00827        1.40286
            242         110002       110       110        1.00000        0.00630        1.30039
            243         110003       110       110        1.00000        0.00984        2.65980
            244         110004       110       110        1.00000        0.00827        2.25557
            245         110005       110       110        1.00000        0.01417        3.11755
            246         111002       111       111        1.00000        0.01260        1.99337
            247         111004       111       111        1.00000        0.00433        0.32394
            248         111005       111       111        1.00000        0.00433        0.89099
            249         111006       111       111        1.00000        0.01929        3.12719
            250         112001       101       112        5.78274        0.25935      839.08340
            251         112002       112       112        1.00000        0.00512        0.34983
            252         112003       112       112        1.00000        0.00433        0.40741
            253         112004       112       112        1.00000        0.00709        1.15238
            254         113001       113       113        1.00000        0.00827        0.66439
            255         113002       113       113        1.00000        0.02087        3.67355
            256         114001       114       114        1.00000        0.08425       19.73515
            257         114002       114       114        1.00000        0.00472        0.59409
            258         114003       114       114        1.00000        0.00984        0.64223
            259         114004       114       114        1.00000        0.01339        1.92259
            260         114005       113       114        1.22932        0.06437       25.51736
            261         115001       115       115        1.00000        0.00945        1.26932
            262         115002       115       115        1.00000        0.00945        0.74008
            263         115003       115       115        1.00000        0.00433        0.45703
            264         116001       116       116        1.00000        0.04528        8.69811
            265         117001       117       117        1.00000        0.02283        3.19049
            266         117002       117       117        1.00000        0.00551        1.15195
            267         118001       118       118        1.00000        0.02835        3.58219
            268         118002       118       118        1.00000        0.01102        1.95682
            269         118003       118       118        1.00000        0.01732        1.76325
            270         118004       111       118        4.47059        0.05236       76.62181
            271         119001       119       119        1.00000        0.00709        1.51333
            272         119002       119       119        1.00000        0.00827        0.85701
            273         119003       119       119        1.00000        0.00945        2.49046
            274         120001       120       120        1.00000        0.00512        0.59703
            275         120002       120       120        1.00000        0.01417        3.62193
            276         121001       121       121        1.00000        0.00472        0.93885
            277         122001       122       122        1.00000        0.00433        0.82266
            278         123001       123       123        1.00000        0.00551        1.22387
            279         124001       124       124        1.00000        0.00551        0.38730
            280         124002       124       124        1.00000        0.00472        0.29348
            281         124003       124       124        1.00000        0.04134        4.54731
            282         124004       124       124        1.00000        0.00669        1.32269
            283         125001       125       125        1.00000        0.00591        0.60583
            284         125002       125       125        1.00000        0.02441        7.46156
            285         125003       125       125        1.00000        0.01142        4.18351
            286         125004       125       125        1.00000        0.05000        5.39935
            287         125005       125       125        1.00000        0.00787        1.85873
            288         126001       126       126        1.00000        0.02638        5.97293
            289         126002       126       126        1.00000        0.02441        1.97374
            290         126003       126       126        1.00000        0.00906        2.48906
            291         127001       127       127        1.00000        0.01772        4.05583
            292         127002       127       127        1.00000        0.03780        4.16934
            293         127003       127       127        1.00000        0.00709        0.44498
            294         127004       127       127        1.00000        0.00866        2.22173
            295         128001       128       128        1.00000        0.00945        2.49874
            296         129001       129       129        1.00000        0.01457        2.16770
            297         129002       129       129        1.00000        0.06772        7.48830
            298         129003       129       129        1.00000        0.00709        1.35213
            299         130001       130       130        1.00000        0.00945        1.10408
            300         130002       130       130        1.00000        0.01299        1.71891
            301         130003       130       130        1.00000        0.00984        2.35030
            302         131001       131       131        1.00000        0.00433        0.45802
            303         131002       131       131        1.00000        0.02008        2.90573
            304         131003       131       131        1.00000        0.00630        2.17742
            305         131004       131       131        1.00000        0.01969        2.34475
            306         131005       131       131        1.00000        0.00866        1.11822
            307         131006       131       131        1.00000        0.00787        0.75673
            308         131007       131       131        1.00000        0.00945        1.80008
            309         132001       132       132        1.00000        0.00669        0.82816
            310         132002       132       132        1.00000        0.00669        0.68709
            311         132003       132       132        1.00000        0.00709        0.74092
            312         132004       132       132        1.00000        0.00433        0.78877
            313         133001       133       133        1.00000        0.00669        0.53275
            314         133002       133       133        1.00000        0.01496        1.31170
            315         133003       133       133        1.00000        0.00551        0.53471
