              i           c_Id    mStart      mEnd            aDD            aDA            TDM
           2938        1127004      1127      1127        1.00000        0.00669        0.68707
           2939        1127005      1127      1127        1.00000        0.01063        1.31941
           2940        1128001      1128      1128        1.00000        0.00827        0.85719
           2941        1128002      1128      1128        1.00000        0.00827        1.01771
           2942        1129001      1129      1129        1.00000        0.00709        0.73684
           2943        1129002      1129      1129        1.00000        0.00984        1.62352
           2944        1129003      1129      1129        1.00000        0.00433        0.77702
           2945        1129005      1129      1129        1.00000        0.00433        0.43394
           2946        1130001      1130      1130        1.00000        0.02047        3.20028
           2947        1131001      1131      1131        1.00000        0.02874        5.63947
           2948        1132001      1132      1132        1.00000        0.03031        6.02052
           2949        1132002      1098      1132       13.21506        0.30206     3209.75684
           2950        1132003      1132      1132        1.00000        0.00472        0.57264
           2951        1133001      1133      1133        1.00000        0.02047        2.54422
           2952        1134001      1134      1134        1.00000        0.01024        1.18733
           2953        1134002      1134      1134        1.00000        0.00472        0.64131
           2954        1135002      1135      1135        1.00000        0.01339        1.25247
           2955        1136002      1136      1136        1.00000        0.00709        0.90982
           2956        1137002      1137      1137        1.00000        0.00551        0.49382
           2957        1138002      1138      1138        1.00000        0.00591        0.71937
           2958        1138003      1138      1138        1.00000        0.00945        1.32081
           2959        1139002      1139      1139        1.00000        0.00630        0.37501
           2960        1140002      1140      1140        1.00000        0.00787        0.99655
           2961        1141001      1141      1141        1.00000        0.00512        0.39056
           2962        1142001      1142      1142        1.00000        0.00512        0.46859
           2963        1143001      1143      1143        1.00000        0.00551        0.57444
           2964        1143002      1135      1143        3.94000        0.06032       91.30785
           2965        1144001      1144      1144        1.00000        0.01102        1.77152
           2966        1144002      1144      1144        1.00000        0.00906        0.92849
           2967        1144003      1144      1144        1.00000        0.00512        0.84220
           2968        1144004      1144      1144        1.00000        0.00472        0.63118
           2969        1145001      1145      1145        1.00000        0.01142        3.92542
           2970        1145002      1145      1145        1.00000        0.01850        3.44756
           2971        1145003      1145      1145        1.00000        0.10709       20.93471
           2972        1146001      1146      1146        1.00000        0.00945        1.12575
           2973        1146002      1146      1146        1.00000        0.01220        1.68302
           2974        1146004      1146      1146        1.00000        0.00433        0.55528
           2975        1147002      1147      1147        1.00000        0.01339        2.93699
           2976        1147003      1147      1147        1.00000        0.00512        0.37442
           2977        1147004      1147      1147        1.00000        0.00630        0.49857
           2978        1148003      1148      1148        1.00000        0.03740        6.35084
           2979        1149002      1149      1149        1.00000        0.00709        1.58869
           2980        1149004      1149      1149        1.00000        0.02717        7.10294
           2981        1149005      1149      1149        1.00000        0.01535        2.15819
           2982        1150003      1150      1150        1.00000        0.00433        0.53387
           2983        1153003      1153      1153        1.00000        0.00433        0.60102
           2984        1154002      1154      1154        1.00000        0.00827        2.97262
           2985        1154004      1154      1154        1.00000        0.03307        7.37449
           2986        1154005      1154      1154        1.00000        0.00433        0.47763
           2987        1155002      1155      1155        1.00000        0.00472        0.54157
           2988        1155004      1155      1155        1.00000        0.01024        2.08128
           2989        1155005      1155      1155        1.00000        0.01339        3.77945
           2990        1156004      1156      1156        1.00000        0.00512        1.12284
           2991        1157001      1146      1157        5.30648        0.11020      354.44409
           2992        1157002      1156      1157        1.42120        0.09764       45.91136
           2993        1157003      1157      1157        1.00000        0.00669        0.84448
           2994        1158001      1158      1158        1.00000        0.01063        1.81877
           2995        1159002      1159      1159        1.00000        0.00709        1.76160
           2996        1159003      1159      1159        1.00000        0.00512        1.13249
           2997        1161001      1161      1161        1.00000        0.00433        0.21350
           2998        1161002      1161      1161        1.00000        0.01024        3.18499
           2999        1161004      1161      1161        1.00000        0.00472        0.32023
           3000        1162001      1162      1162        1.00000        0.01614        4.45362
           3001        1166002      1166      1166        1.00000        0.00669        1.58483
           3002        1166003      1166      1166        1.00000        0.00472        1.16636
           3003        1166004      1166      1166        1.00000        0.00433        0.52981
           3004        1166005      1166      1166        1.00000        0.00472        0.60318
           3005        1167002      1167      1167        1.00000        0.00984        1.53472
           3006        1167003      1167      1167        1.00000        0.00866        1.94541
           3007        1168002      1168      1168        1.00000        0.00512        0.40161
           3008        1168003      1168      1168        1.00000        0.01614        3.77270
           3009        1169002      1169      1169        1.00000        0.01575        4.06798
           3010        1169003      1169      1169        1.00000        0.01575        3.87239
           3011        1170001      1170      1170        1.00000        0.02559        3.28138
           3012        1171003      1171      1171        1.00000        0.00787        0.83812
           3013        1172002      1172      1172        1.00000        0.01260        2.71282
           3014        1172003      1172      1172        1.00000        0.00512        0.64204
           3015        1172004      1172      1172        1.00000        0.01417        1.67018
           3016        1174001      1174      1174        1.00000        0.00906        1.04153
           3017        1174002      1174      1174        1.00000        0.01339        1.38431
           3018        1176002      1176      1176        1.00000        0.00433        0.41395
           3019        1176003      1176      1176        1.00000        0.00945        1.09583
           3020        1178002      1177      1178        1.75893        0.03878       10.98468
           3021        1180001      1180      1180        1.00000        0.00906        0.52529
           3022        1180003      1180      1180        1.00000        0.00906        0.61345
           3023        1181001      1181      1181        1.00000        0.01299        1.63925
           3024        1181002      1181      1181        1.00000        0.01142        4.52369
           3025        1181004      1181      1181        1.00000        0.02441        6.53106
           3026        1183001      1183      1183        1.00000        0.01024        2.10242
           3027        1183003      1183      1183        1.00000        0.01220        2.13605
           3028        1183004      1183      1183        1.00000        0.01929        3.65142
           3029        1184001      1184      1184        1.00000        0.00945        0.82589
           3030        1184002      1184      1184        1.00000        0.02402        7.02309
           3031        1184003      1184      1184        1.00000        0.01142        4.66742
           3032        1184004      1181      1184        2.08710        0.06368       42.07477
           3033        1184006      1184      1184        1.00000        0.00787        1.10722
           3034        1184007      1184      1184        1.00000        0.02008        3.46728
           3035        1184008      1184      1184        1.00000        0.00433        0.64304
           3036        1185001      1185      1185        1.00000        0.01102        3.42722
           3037        1185002      1185      1185        1.00000        0.01575        2.67170
           3038        1185003      1185      1185        1.00000        0.00945        1.76819
           3039        1185005      1185      1185        1.00000        0.02717        5.50742
           3040        1186001      1148      1186       11.09139        0.20949     2256.40378
           3041        1186002      1186      1186        1.00000        0.00512        0.32099
           3042        1187001      1187      1187        1.00000        0.00827        1.65436
           3043        1187002      1187      1187        1.00000        0.01220        1.45996
           3044        1187003      1187      1187        1.00000        0.02323        4.43619
           3045        1187004      1187      1187        1.00000        0.00630        0.52852
           3046        1188001      1188      1188        1.00000        0.00591        0.80618
           3047        1188003      1188      1188        1.00000        0.00709        0.87453
           3048        1189001      1189      1189        1.00000        0.00433        0.76568
           3049        1189003      1189      1189        1.00000        0.01260        1.95430
           3050        1192001      1192      1192        1.00000        0.00433        0.77193
           3051        1192002      1192      1192        1.00000        0.00551        0.83003
           3052        1192003      1192      1192        1.00000        0.00630        1.64465
           3053        1192004      1192      1192        1.00000        0.00512        1.02344
           3054        1192005      1192      1192        1.00000        0.01220        2.59395
           3055        1192007      1192      1192        1.00000        0.00945        1.58913
           3056        1193001      1193      1193        1.00000        0.00512        1.56238
           3057        1194001      1194      1194        1.00000        0.00984        1.42550
           3058        1195001      1195      1195        1.00000        0.03858        7.64713
           3059        1195002      1195      1195        1.00000        0.01220        3.44549
           3060        1195004      1195      1195        1.00000        0.01024        2.72473
           3061        1196001      1196      1196        1.00000        0.03071        3.19940
           3062        1196002      1196      1196        1.00000        0.02323        3.60643
           3063        1196003      1196      1196        1.00000        0.00591        0.40461
           3064        1196004      1196      1196        1.00000        0.00709        0.71052
           3065        1196005      1196      1196        1.00000        0.02047        1.66140
           3066        1196006      1196      1196        1.00000        0.00630        0.36645
           3067        1196007      1196      1196        1.00000        0.00669        1.02566
           3068        1196009      1196      1196        1.00000        0.00630        0.80672
           3069        1197002      1197      1197        1.00000        0.01850        2.45315
           3070        1197004      1197      1197        1.00000        0.00709        1.58254
           3071        1198002      1198      1198        1.00000        0.00591        1.63310
           3072        1198003      1198      1198        1.00000        0.00433        0.81905
           3073        1198004      1198      1198        1.00000        0.01457        2.82671
           3074        1198006      1198      1198        1.00000        0.00669        1.71694
           3075        1199001      1197      1199        1.48000        0.04856       27.88660
           3076        1199002      1199      1199        1.00000        0.01850        1.98787
           3077        1199003      1199      1199        1.00000        0.00551        1.37278
           3078        1199005      1199      1199        1.00000        0.00472        0.41679
           3079        1199007      1199      1199        1.00000        0.00906        1.70121
           3080        1199008      1199      1199        1.00000        0.01535        1.81235
           3081        1200001      1200      1200        1.00000        0.01614        1.84043
           3082        1200002      1200      1200        1.00000        0.00748        0.94539
           3083        1200003      1200      1200        1.00000        0.00669        0.69829
           3084        1200004      1200      1200        1.00000        0.00827        1.41672
           3085        1200006      1200      1200        1.00000        0.01102        3.65280
           3086        1201001      1201      1201        1.00000        0.01654        2.05231
           3087        1201002      1201      1201        1.00000        0.00591        0.64355
           3088        1201003      1201      1201        1.00000        0.00433        1.06349
           3089        1201005      1201      1201        1.00000        0.00709        1.16431
           3090        1201006      1201      1201        1.00000        0.00827        1.52167
           3091        1202001      1202      1202        1.00000        0.01693        2.41638
           3092        1203001      1203      1203        1.00000        0.01929        3.32303
           3093        1203002      1203      1203        1.00000        0.01260        1.66357
           3094        1203004      1203      1203        1.00000        0.01142        2.15016
           3095        1203006      1203      1203        1.00000        0.01299        3.29259
           3096        1204001      1204      1204        1.00000        0.02835        5.35751
           3097        1204003      1204      1204        1.00000        0.00433        0.28044
           3098        1204004      1204      1204        1.00000        0.00827        2.81431
           3099        1205001      1205      1205        1.00000        0.01614        2.42923
           3100        1205003      1205      1205        1.00000        0.00551        1.00944
           3101        1208002      1208      1208        1.00000        0.00472        0.83078
           3102        1209001      1209      1209        1.00000        0.02087        5.32540
           3103        1209003      1209      1209        1.00000        0.00591        1.71847
           3104        1210001      1210      1210        1.00000        0.01260        2.75738
           3105        1210002      1210      1210        1.00000        0.02126        5.77820
           3106        1210003      1210      1210        1.00000        0.01496        2.87323
           3107        1211003      1211      1211        1.00000        0.00787        1.23226
           3108        1211004      1211      1211        1.00000        0.02047        3.07925
           3109        1212001      1212      1212        1.00000        0.00787        1.40237
           3110        1212003      1212      1212        1.00000        0.00669        1.19086
           3111        1212006      1212      1212        1.00000        0.01457        2.05471
           3112        1212007      1212      1212        1.00000        0.09213       23.72097
           3113        1212008      1212      1212        1.00000        0.00472        0.31256
           3114        1213002      1213      1213        1.00000        0.00906        1.79110
           3115        1213004      1213      1213        1.00000        0.01260        2.16473
           3116        1213005      1213      1213        1.00000        0.01890        3.58740
           3117        1213006      1213      1213        1.00000        0.00591        0.85592
           3118        1214002      1214      1214        1.00000        0.00945        2.06313
           3119        1214004      1214      1214        1.00000        0.00433        0.38260
           3120        1214005      1214      1214        1.00000        0.01063        1.40022
           3121        1214006      1214      1214        1.00000        0.00630        1.41034
           3122        1214007      1214      1214        1.00000        0.01614        4.08334
           3123        1214008      1214      1214        1.00000        0.00787        2.16865
           3124        1215001      1215      1215        1.00000        0.01102        2.49121
           3125        1215004      1215      1215        1.00000        0.01220        2.83624
           3126        1215005      1215      1215        1.00000        0.00433        0.91299
           3127        1215006      1215      1215        1.00000        0.00787        2.53571
           3128        1216002      1216      1216        1.00000        0.00748        1.29430
           3129        1216003      1188      1216        8.57381        0.17425     1328.95385
           3130        1216004      1216      1216        1.00000        0.00866        0.61049
           3131        1216005      1216      1216        1.00000        0.00866        2.16025
           3132        1216006      1216      1216        1.00000        0.01614        3.54242
           3133        1216007      1216      1216        1.00000        0.00591        1.28327
           3134        1217001      1211      1217        4.54286        0.06260       95.17862
           3135        1217003      1217      1217        1.00000        0.03189        8.97740
           3136        1217004      1217      1217        1.00000        0.00945        1.08567
           3137        1217005      1217      1217        1.00000        0.00551        0.79679
           3138        1218002      1218      1218        1.00000        0.00787        1.35739
           3139        1218003      1218      1218        1.00000        0.00709        1.75595
           3140        1219002      1219      1219        1.00000        0.00709        1.81643
           3141        1220002      1220      1220        1.00000        0.01024        1.11759
           3142        1221001      1216      1221        3.07634        0.05289       82.82181
           3143        1221002      1221      1221        1.00000        0.00472        0.85873
           3144        1221003      1221      1221        1.00000        0.00669        1.85779
           3145        1222001      1222      1222        1.00000        0.00827        0.79821
           3146        1222002      1222      1222        1.00000        0.02205        3.29748
           3147        1222003      1222      1222        1.00000        0.05000        7.72641
           3148        1223002      1223      1223        1.00000        0.00748        0.86244
           3149        1223003      1223      1223        1.00000        0.02362        4.48513
           3150        1224001      1224      1224        1.00000        0.00551        1.42126
           3151        1224002      1224      1224        1.00000        0.01339        2.47162
           3152        1224004      1224      1224        1.00000        0.03189        5.86995
           3153        1224005      1224      1224        1.00000        0.00630        0.43890
           3154        1225001      1225      1225        1.00000        0.00512        0.34372
           3155        1225002      1225      1225        1.00000        0.00591        0.30948
           3156        1225003      1225      1225        1.00000        0.00945        1.19804
           3157        1225004      1225      1225        1.00000        0.00472        0.34374
           3158        1225006      1225      1225        1.00000        0.01811        2.52131
           3159        1225007      1225      1225        1.00000        0.00787        1.08367
           3160        1225009      1225      1225        1.00000        0.00512        0.95732
           3161        1226001      1226      1226        1.00000        0.00433        0.35443
           3162        1226004      1226      1226        1.00000        0.00630        1.21608
           3163        1227001      1223      1227        2.28375        0.06528       67.17397
           3164        1227003      1227      1227        1.00000        0.00472        1.20604
           3165        1228001      1228      1228        1.00000        0.00551        0.75714
           3166        1228002      1228      1228        1.00000        0.00433        0.77960
           3167        1229001      1229      1229        1.00000        0.01417        1.67207
           3168        1229003      1229      1229        1.00000        0.00866        1.12882
           3169        1229004      1229      1229        1.00000        0.00591        0.61548
           3170        1230001      1230      1230        1.00000        0.00669        0.71286
           3171        1230003      1230      1230        1.00000        0.02244        7.81724
           3172        1231003      1231      1231        1.00000        0.01339        4.64550
           3173        1232002      1231      1232        1.83908        0.03150       21.49001
           3174        1232003      1232      1232        1.00000        0.00709        1.39275
           3175        1233002      1233      1233        1.00000        0.01654        4.32918
           3176        1233003      1233      1233        1.00000        0.00433        1.63811
           3177        1233004      1233      1233        1.00000        0.01732        4.66393
           3178        1234002      1234      1234        1.00000        0.00630        0.71850
           3179        1234003      1234      1234        1.00000        0.00866        0.54856
           3180        1235002      1235      1235        1.00000        0.01575        2.76943
           3181        1235003      1235      1235        1.00000        0.01181        1.01146
           3182        1236002      1236      1236        1.00000        0.00630        0.94257
           3183        1236003      1236      1236        1.00000        0.01535        3.07940
           3184        1236004      1236      1236        1.00000        0.00472        0.41164
           3185        1237002      1237      1237        1.00000        0.01614        3.28599
           3186        1237003      1237      1237        1.00000        0.01339        1.32267
           3187        1238002      1238      1238        1.00000        0.00433        0.60805
           3188        1238003      1238      1238        1.00000        0.00591        0.88417
           3189        1238004      1238      1238        1.00000        0.00551        1.13337
           3190        1238005      1238      1238        1.00000        0.00472        0.65868
           3191        1239001      1239      1239        1.00000        0.00984        1.28747
           3192        1239003      1239      1239        1.00000        0.00551        0.78207
           3193        1240001      1240      1240        1.00000        0.00433        0.80184
           3194        1240003      1240      1240        1.00000        0.01850        4.41959
           3195        1240004      1240      1240        1.00000        0.00591        0.51683
           3196        1241002      1241      1241        1.00000        0.00669        1.18045
           3197        1241005      1241      1241        1.00000        0.02598        4.89636
           3198        1241006      1241      1241        1.00000        0.01496        2.50666
           3199        1242001      1242      1242        1.00000        0.00709        0.72276
           3200        1242002      1224      1242        5.92646        0.24880     1404.22021
           3201        1243001      1243      1243        1.00000        0.00669        0.63418
           3202        1243002      1243      1243        1.00000        0.00591        0.72447
           3203        1243004      1243      1243        1.00000        0.00551        0.80840
           3204        1244001      1244      1244        1.00000        0.00906        1.94560
           3205        1244002      1244      1244        1.00000        0.02677        8.22089
           3206        1244003      1244      1244        1.00000        0.01142        3.50690
           3207        1244004      1244      1244        1.00000        0.01142        1.15608
           3208        1245001      1245      1245        1.00000        0.00630        0.60300
           3209        1245002      1245      1245        1.00000        0.00709        0.28968
           3210        1245004      1245      1245        1.00000        0.00551        0.43608
           3211        1245005      1245      1245        1.00000        0.00945        1.52146
           3212        1246001      1246      1246        1.00000        0.01181        1.78220
           3213        1248001      1242      1248        2.30245        0.10062      130.06170
           3214        1249001      1249      1249        1.00000        0.01496        2.53485
           3215        1249002      1249      1249        1.00000        0.00472        0.75276
           3216        1250001      1250      1250        1.00000        0.00512        0.73749
           3217        1250002      1250      1250        1.00000        0.01811        3.85866
           3218        1251001      1251      1251        1.00000        0.00591        0.94011
           3219        1252001      1252      1252        1.00000        0.00472        0.60309
           3220        1253001      1253      1253        1.00000        0.00984        1.42003
           3221        1254001      1254      1254        1.00000        0.00472        0.66856
           3222        1254002      1254      1254        1.00000        0.02047        6.51983
           3223        1255003      1255      1255        1.00000        0.01299        3.26580
           3224        1256002      1256      1256        1.00000        0.00748        2.10454
           3225        1256005      1256      1256        1.00000        0.01142        4.66993
           3226        1257001      1257      1257        1.00000        0.00866        2.70329
           3227        1257003      1257      1257        1.00000        0.00709        1.17325
           3228        1257004      1255      1257        2.51685        0.02940       29.24696
           3229        1257005      1257      1257        1.00000        0.01102        2.99723
           3230        1258002      1258      1258        1.00000        0.01220        1.94376
           3231        1258003      1258      1258        1.00000        0.00866        2.07568
           3232        1258004      1252      1258        3.64895        0.12745      270.93176
           3233        1259002      1259      1259        1.00000        0.01575        1.99354
           3234        1260002      1260      1260        1.00000        0.00433        0.21891
           3235        1261002      1261      1261        1.00000        0.00748        1.99488
           3236        1263002      1263      1263        1.00000        0.00945        2.61472
           3237        1263003      1263      1263        1.00000        0.00630        0.81687
           3238        1263004      1263      1263        1.00000        0.00591        0.69281
           3239        1263005      1263      1263        1.00000        0.01496        2.50130
           3240        1263006      1263      1263        1.00000        0.08937       20.14886
           3241        1264001      1264      1264        1.00000        0.00787        1.87871
           3242        1264003      1264      1264        1.00000        0.00748        0.83468
           3243        1264004      1264      1264        1.00000        0.00433        0.67333
           3244        1264005      1264      1264        1.00000        0.00945        1.32890
           3245        1264006      1264      1264        1.00000        0.02402        4.31518
           3246        1265001      1265      1265        1.00000        0.01063        2.99741
           3247        1265002      1255      1265        5.95888        0.11410      317.63562
           3248        1265003      1265      1265        1.00000        0.08740       18.71909
           3249        1265004      1265      1265        1.00000        0.00787        0.81336
           3250        1266001      1266      1266        1.00000        0.00591        1.27074
           3251        1266002      1266      1266        1.00000        0.00669        1.52713
           3252        1266003      1266      1266        1.00000        0.01102        3.08715
           3253        1266004      1266      1266        1.00000        0.00906        1.69582
           3254        1269001      1269      1269        1.00000        0.00709        0.65334
           3255        1269002      1269      1269        1.00000        0.02638        5.05553
           3256        1270001      1270      1270        1.00000        0.02126        3.36072
           3257        1270002      1270      1270        1.00000        0.05315       10.03199
           3258        1271002      1271      1271        1.00000        0.02598        3.82877
           3259        1272001      1272      1272        1.00000        0.00945        0.93348
           3260        1272003      1272      1272        1.00000        0.00669        1.31391
           3261        1272004      1272      1272        1.00000        0.00748        1.72330
           3262        1272006      1272      1272        1.00000        0.00512        0.83890
           3263        1272007      1272      1272        1.00000        0.00433        0.30206
           3264        1273002      1273      1273        1.00000        0.00433        0.64353
           3265        1273003      1273      1273        1.00000        0.00787        0.78354
           3266        1274002      1274      1274        1.00000        0.00512        0.51101
           3267        1274003      1274      1274        1.00000        0.00472        0.79725
           3268        1274005      1274      1274        1.00000        0.00433        0.81801
           3269        1274006      1274      1274        1.00000        0.00512        1.10138
           3270        1274007      1274      1274        1.00000        0.00433        0.25525
           3271        1275002      1275      1275        1.00000        0.01811        1.76993
           3272        1275003      1275      1275        1.00000        0.00630        1.07325
           3273        1275004      1275      1275        1.00000        0.00512        0.39910
           3274        1275005      1275      1275        1.00000        0.00866        1.22355
           3275        1275006      1272      1275        2.01370        0.07234       57.67044
           3276        1276001      1271      1276        5.09917        0.04049       68.61268
           3277        1276002      1276      1276        1.00000        0.03701        4.17285
           3278        1276003      1276      1276        1.00000        0.01181        1.80922
           3279        1276004      1276      1276        1.00000        0.00433        1.15589
           3280        1278001      1278      1278        1.00000        0.00630        0.41857
           3281        1278002      1277      1278        1.50836        0.08878       35.50015
           3282        1278003      1278      1278        1.00000        0.01850        3.15396
           3283        1278004      1277      1278        1.27240        0.06988       25.55424
           3284        1278005      1278      1278        1.00000        0.00512        0.54389
           3285        1279001      1279      1279        1.00000        0.05748        6.85716
           3286        1279002      1279      1279        1.00000        0.02165        4.31989
           3287        1279003      1279      1279        1.00000        0.00591        0.68833
           3288        1279004      1279      1279        1.00000        0.00551        0.45800
           3289        1279005      1279      1279        1.00000        0.00748        0.74424
           3290        1279006      1279      1279        1.00000        0.00748        0.86158
           3291        1280001      1280      1280        1.00000        0.02835        6.22284
           3292        1280002      1280      1280        1.00000        0.01181        1.08499
           3293        1280003      1280      1280        1.00000        0.00866        0.54130
           3294        1281001      1281      1281        1.00000        0.02795        7.01705
           3295        1281002      1281      1281        1.00000        0.02992        4.34066
           3296        1282001      1282      1282        1.00000        0.01417        4.47701
           3297        1282002      1282      1282        1.00000        0.00709        1.18868
           3298        1283001      1283      1283        1.00000        0.02244        7.94973
           3299        1283002      1283      1283        1.00000        0.01457        3.39270
           3300        1285002      1283      1285        2.02632        0.05052       37.60264
           3301        1286002      1286      1286        1.00000        0.00472        0.44415
           3302        1286003      1286      1286        1.00000        0.01378        3.30360
           3303        1286004      1286      1286        1.00000        0.02323        4.95598
           3304        1287002      1287      1287        1.00000        0.00669        0.72870
           3305        1287003      1287      1287        1.00000        0.00787        0.99978
           3306        1287004      1287      1287        1.00000        0.03465        6.16851
           3307        1288001      1284      1288        3.89247        0.02850       49.91970
           3308        1288002      1288      1288        1.00000        0.04843        7.54846
           3309        1288003      1288      1288        1.00000        0.00906        1.39123
           3310        1288004      1288      1288        1.00000        0.00984        0.90177
           3311        1288005      1287      1288        1.57812        0.07953       39.97669
           3312        1288006      1288      1288        1.00000        0.02677        5.53407
           3313        1288007      1288      1288        1.00000        0.00512        0.46337
           3314        1289001      1289      1289        1.00000        0.05551       12.07038
           3315        1289002      1289      1289        1.00000        0.01654        5.28514
           3316        1289003      1289      1289        1.00000        0.01378        3.04325
           3317        1290001      1290      1290        1.00000        0.01024        2.30238
           3318        1290002      1290      1290        1.00000        0.01929        3.64629
           3319        1291001      1291      1291        1.00000        0.03307        8.70572
           3320        1291002      1291      1291        1.00000        0.00591        0.41028
           3321        1291003      1291      1291        1.00000        0.00906        1.29421
           3322        1291004      1291      1291        1.00000        0.00669        1.11621
           3323        1291005      1291      1291        1.00000        0.00472        1.36085
           3324        1292001      1292      1292        1.00000        0.04567       11.33722
           3325        1292003      1292      1292        1.00000        0.01693        1.76979
           3326        1293002      1293      1293        1.00000        0.00472        1.09366
           3327        1294001      1294      1294        1.00000        0.00709        2.23763
           3328        1294002      1294      1294        1.00000        0.00551        0.39544
           3329        1295001      1295      1295        1.00000        0.00591        1.19253
           3330        1295003      1295      1295        1.00000        0.01417        2.61983
           3331        1295004      1295      1295        1.00000        0.01890        2.04524
           3332        1296001      1296      1296        1.00000        0.01024        3.60048
           3333        1296003      1296      1296        1.00000        0.00906        0.46072
           3334        1296004      1296      1296        1.00000        0.00433        0.27289
           3335        1299001      1299      1299        1.00000        0.00591        1.05051
           3336        1299003      1299      1299        1.00000        0.00433        0.41339
           3337        1300001      1300      1300        1.00000        0.01181        0.88943
           3338        1300002      1300      1300        1.00000        0.02520        6.66248
           3339        1300003      1300      1300        1.00000        0.00472        0.85681
           3340        1300005      1292      1300        5.60352        0.16693      359.72007
           3341        1301001      1301      1301        1.00000        0.00866        0.76847
           3342        1301002      1301      1301        1.00000        0.01299        2.75103
           3343        1301004      1301      1301        1.00000        0.00945        2.02693
           3344        1302001      1302      1302        1.00000        0.00472        0.72441
           3345        1302002      1302      1302        1.00000        0.01496        2.77426
           3346        1302003      1297      1302        3.69585        0.05262       68.39304
           3347        1303001      1303      1303        1.00000        0.02598        4.79941
           3348        1303002      1303      1303        1.00000        0.00709        1.35716
           3349        1303003      1303      1303        1.00000        0.07323       14.94394
           3350        1303004      1303      1303        1.00000        0.01929        5.60002
           3351        1303005      1303      1303        1.00000        0.00433        0.68796
           3352        1303006      1303      1303        1.00000        0.01378        1.96961
           3353        1303007      1303      1303        1.00000        0.00709        1.97071
           3354        1304001      1304      1304        1.00000        0.00472        0.64145
           3355        1304002      1304      1304        1.00000        0.00433        0.73279
           3356        1304004      1304      1304        1.00000        0.00591        1.00093
           3357        1304005      1304      1304        1.00000        0.00787        1.00434
           3358        1305001      1305      1305        1.00000        0.01772        2.05084
           3359        1305002      1305      1305        1.00000        0.00906        1.73005
           3360        1305003      1305      1305        1.00000        0.00669        0.72404
           3361        1305005      1305      1305        1.00000        0.02087        3.29732
           3362        1305006      1305      1305        1.00000        0.00472        0.54714
           3363        1305008      1297      1305        6.31250        0.04860      101.32286
           3364        1306003      1306      1306        1.00000        0.00591        0.65420
           3365        1307003      1307      1307        1.00000        0.02323        3.17695
           3366        1308003      1307      1308        1.43030        0.04646       25.43325
           3367        1309002      1309      1309        1.00000        0.01260        1.96051
           3368        1309003      1309      1309        1.00000        0.01890        4.13941
           3369        1309004      1309      1309        1.00000        0.00512        1.06217
           3370        1309005      1309      1309        1.00000        0.01772        5.58690
           3371        1309006      1309      1309        1.00000        0.01890        2.89309
           3372        1310002      1310      1310        1.00000        0.01339        2.79402
           3373        1310003      1310      1310        1.00000        0.00630        2.00611
           3374        1310004      1310      1310        1.00000        0.01535        5.51229
           3375        1310005      1310      1310        1.00000        0.00551        0.82804
           3376        1311002      1311      1311        1.00000        0.01693        4.83724
           3377        1311003      1311      1311        1.00000        0.00551        0.84270
           3378        1311004      1311      1311        1.00000        0.01732        6.35306
           3379        1311005      1311      1311        1.00000        0.00433        0.74576
           3380        1311006      1311      1311        1.00000        0.00433        0.24601
           3381        1312001      1304      1312        3.49559        0.17340      325.38304
           3382        1312002      1312      1312        1.00000        0.01220        3.31698
           3383        1312003      1312      1312        1.00000        0.01654        4.98111
           3384        1312004      1312      1312        1.00000        0.01339        5.18099
           3385        1312005      1312      1312        1.00000        0.02362        4.92864
           3386        1312007      1312      1312        1.00000        0.00472        1.60992
           3387        1312008      1312      1312        1.00000        0.00472        1.86730
           3388        1313001      1313      1313        1.00000        0.01102        2.68448
           3389        1313002      1313      1313        1.00000        0.01299        2.05011
           3390        1313003      1312      1313        1.57554        0.04311       18.72891
           3391        1314002      1314      1314        1.00000        0.00945        0.97950
           3392        1314003      1314      1314        1.00000        0.00827        0.90457
           3393        1314004      1314      1314        1.00000        0.01260        0.82989
           3394        1314005      1314      1314        1.00000        0.01063        0.78127
           3395        1314007      1313      1314        1.59231        0.04075        9.69686
           3396        1315001      1315      1315        1.00000        0.00512        0.85852
           3397        1315004      1315      1315        1.00000        0.00709        0.76083
           3398        1315005      1315      1315        1.00000        0.01339        1.58861
           3399        1316003      1316      1316        1.00000        0.00512        0.48064
           3400        1316004      1316      1316        1.00000        0.01024        0.95667
           3401        1316005      1316      1316        1.00000        0.02323        2.52510
           3402        1317002      1317      1317        1.00000        0.00669        0.68453
           3403        1317003      1317      1317        1.00000        0.04016        8.14257
           3404        1318002      1318      1318        1.00000        0.00433        0.51979
           3405        1318003      1318      1318        1.00000        0.02244        3.03183
           3406        1323002      1319      1323        3.09938        0.03929       48.81359
