,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1936-03-20,6.9,-1.6,16.9,0.0,,,66.0,,,6.1,1006.0
1936-03-21,7.9,0.5,16.0,0.0,,,67.0,,,6.9,1003.9
1936-03-22,9.5,3.5,18.8,0.0,,,62.0,,,7.1,997.1
1936-03-23,10.0,3.5,19.0,0.0,,,60.0,,,6.9,992.5
1936-03-24,8.8,2.5,15.6,6.5,,,82.0,,,9.2,994.0
1936-03-25,9.1,7.5,12.8,1.1,,,86.0,,,10.1,996.0
1936-03-26,9.2,6.0,14.0,0.0,,,79.0,,,9.2,992.4
1936-03-27,6.0,5.5,8.5,0.0,,,86.0,,,8.0,998.0
1936-03-28,7.7,4.5,10.6,0.0,,,72.0,,,7.5,1002.4
1936-03-29,11.6,4.5,17.2,2.1,,,69.0,,,9.2,1001.6
1936-03-30,10.9,8.7,12.0,4.4,,,89.0,,,11.5,996.9
1936-03-31,12.2,9.6,18.1,2.3,,,77.0,,,11.1,998.7
1936-04-01,12.5,9.0,15.1,0.7,,,73.0,,,10.7,997.8
1936-04-02,11.6,8.4,18.0,3.9,,,82.0,,,10.9,996.5
1936-04-03,7.0,5.0,11.8,2.9,,,86.0,,,9.1,1000.3
1936-04-04,5.9,4.0,9.5,0.0,,,73.0,,,6.8,998.7
1936-04-05,5.0,-0.3,8.3,0.0,,,65.0,,,5.3,1002.4
1936-04-06,6.1,-0.8,12.2,0.0,,,59.0,,,5.3,1000.2
1936-04-07,4.3,2.4,6.4,0.0,,,69.0,,,5.7,992.2
1936-04-08,5.0,2.9,11.9,0.0,,,67.0,,,5.9,1000.0
1936-04-09,6.1,-2.0,13.0,0.0,,,66.0,,,6.1,1001.8
1936-04-10,7.0,0.5,12.1,0.3,,,71.0,,,6.8,996.8
1936-04-11,3.7,1.6,8.6,0.0,,,72.0,,,5.7,986.6
1936-04-12,5.0,-1.1,8.5,3.6,,,67.0,,,5.5,988.2
1936-04-13,5.2,2.5,10.0,0.0,,,66.0,,,5.9,991.0
1936-04-14,10.0,2.5,17.8,1.5,,,68.0,,,7.9,985.6
1936-04-15,12.8,3.0,20.1,1.1,,,72.0,,,9.9,983.5
1936-04-16,14.4,10.5,21.5,0.2,,,58.0,,,9.3,980.4
1936-04-17,9.5,5.7,18.2,0.4,,,66.0,,,8.8,971.7
1936-04-18,3.6,1.9,6.2,5.6,,,80.0,,,6.4,980.2
1936-04-19,5.3,1.5,8.2,0.9,,,67.0,,,6.1,994.3
1936-04-20,7.0,3.9,11.3,0.0,,,56.0,,,5.5,995.1
1936-04-21,4.3,1.6,10.4,1.0,,,75.0,,,6.4,987.5
1936-04-22,7.9,1.8,12.9,1.6,,,73.0,,,7.6,981.1
1936-04-23,3.1,1.9,8.0,3.3,,,88.0,,,6.8,995.6
