,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1934-03-19,3.8,1.2,9.4,0.0,,,65.0,,,5.7,989.2
1934-03-20,8.2,-3.8,14.3,0.0,,,56.0,,,6.1,988.4
1934-03-21,7.1,1.7,11.0,2.0,,,83.0,,,8.5,991.3
1934-03-22,7.1,5.4,11.1,1.4,,,80.0,,,8.4,995.2
1934-03-23,5.8,1.4,9.6,1.0,,,84.0,,,8.1,1000.8
1934-03-24,5.6,3.9,8.9,0.0,,,91.0,,,8.8,1002.4
1934-03-25,6.2,1.3,10.7,0.0,,,80.0,,,8.0,1002.2
1934-03-26,4.7,1.2,5.9,0.5,,,85.0,,,7.5,1001.0
1934-03-27,2.7,-0.7,7.7,0.0,,,75.0,,,5.9,1002.8
1934-03-28,3.6,-4.1,6.8,0.0,,,73.0,,,5.7,996.6
1934-03-29,6.2,2.3,11.3,0.1,,,84.0,,,8.3,988.6
1934-03-30,7.3,0.2,13.5,0.0,,,85.0,,,9.1,989.5
1934-03-31,10.0,4.9,14.7,0.0,,,72.0,,,8.8,994.7
1934-04-01,6.8,0.3,13.9,0.0,,,70.0,,,6.9,996.0
1934-04-02,6.6,-0.5,14.5,0.0,,,62.0,,,6.4,998.0
1934-04-03,5.2,-2.4,14.4,0.0,,,53.0,,,4.9,1001.0
1934-04-04,5.3,-4.0,11.4,0.0,,,66.0,,,5.9,995.7
1934-04-05,1.6,-1.3,6.4,0.9,,,90.0,,,6.7,987.8
1934-04-06,5.1,-4.5,12.7,0.0,,,68.0,,,6.0,990.0
1934-04-07,9.1,-3.2,15.8,0.0,,,65.0,,,7.1,987.8
1934-04-08,10.6,7.9,14.9,0.0,,,72.0,,,9.7,985.2
1934-04-09,13.4,5.0,20.8,11.4,,,66.0,,,10.1,979.0
1934-04-10,6.9,6.0,12.9,20.3,,,94.0,,,9.7,985.0
1934-04-11,4.6,2.9,7.1,0.0,,,90.0,,,8.0,994.0
1934-04-12,9.3,-0.9,18.2,0.0,,,71.0,,,7.9,994.0
1934-04-13,8.8,4.6,13.0,1.0,,,84.0,,,9.9,1001.5
1934-04-14,11.9,6.1,17.9,1.0,,,80.0,,,11.1,1001.6
1934-04-15,13.7,7.3,19.7,0.0,,,81.0,,,12.7,1004.1
1934-04-16,18.2,7.8,26.6,0.0,,,64.0,,,12.8,1001.6
1934-04-17,19.7,9.6,29.1,0.0,,,56.0,,,12.1,994.4
1934-04-18,20.7,15.6,26.3,0.0,,,43.0,,,10.8,988.0
1934-04-19,12.7,8.4,18.8,0.0,,,55.0,,,8.4,995.3
1934-04-20,13.4,6.5,17.4,1.6,,,58.0,,,8.8,995.5
1934-04-21,9.3,7.5,14.6,0.6,,,66.0,,,8.0,999.4
1934-04-22,14.4,1.3,18.8,0.0,,,54.0,,,8.8,987.6
1934-04-23,12.8,9.6,17.6,0.0,,,63.0,,,9.7,977.3
1934-04-24,10.8,9.1,15.0,0.0,,,62.0,,,8.1,982.3
1934-04-25,10.9,1.8,15.3,0.8,,,72.0,,,9.6,985.5
1934-04-26,10.8,4.6,15.8,0.0,,,80.0,,,10.1,988.3
1934-04-27,13.9,6.2,20.8,0.0,,,64.0,,,9.5,993.4
1934-04-28,14.4,3.8,24.7,0.0,,,65.0,,,10.4,997.2
1934-04-29,16.6,7.0,23.1,0.0,,,66.0,,,11.9,998.9
1934-04-30,19.4,9.8,26.4,0.0,,,58.0,,,12.3,994.6
1934-05-01,19.0,9.1,28.2,0.0,,,54.0,,,11.3,992.4
1934-05-02,18.7,9.0,26.7,3.8,,,59.0,,,12.5,991.9
1934-05-03,20.8,9.6,25.1,0.0,,,55.0,,,12.5,990.1
1934-05-04,20.6,17.0,25.7,0.0,,,48.0,,,11.9,988.2
1934-05-05,17.4,12.9,22.0,0.0,,,65.0,,,12.8,997.3
1934-05-06,17.7,11.9,23.7,0.0,,,73.0,,,14.5,1000.1
1934-05-07,17.3,9.3,25.4,1.0,,,69.0,,,13.2,999.3
