index,FBK,KKS,LAR,LW,VBM
2016-01-29 00:00:00,0.0,0.0,0.0,0.0,1.9507531436853377e-05
2016-01-29 01:00:00,7.974503542452871e-05,0.0,0.0,0.0,3.964750291379904e-05
2016-01-29 02:00:00,9.356093194712496e-05,0.0,8.673586408190923e-05,6.806625857112571e-05,4.07855201974438e-05
2016-01-29 03:00:00,0.0002809216097958336,0.0,0.0007299306377418079,3.612876808771344e-05,3.990505854741489e-05
2016-01-29 04:00:00,6.81502178293161e-05,0.0,0.00046902883032046323,1.458546137670481e-05,4.063227945214553e-05
2016-01-29 05:00:00,1.3037492087442721e-05,0.0,0.0003615819586411243,0.00012373450624818816,4.1391896541312e-05
2016-01-29 06:00:00,0.00010773457433381717,0.0,0.0002782880349116916,7.25340421004888e-05,4.117573590833291e-05
2016-01-29 07:00:00,0.00011861520031246472,0.0,0.00024604252056751816,2.2000507743480933e-05,3.3688209574499106e-05
2016-01-29 08:00:00,0.00010312223015515032,0.0,0.00018101425029105713,7.830426650349947e-05,2.7672198168202143e-05
2016-01-29 09:00:00,8.985587352580876e-05,0.0,0.00015891379961472735,9.944005588644042e-05,2.2583705530823292e-05
2016-01-29 10:00:00,7.926958682501801e-05,0.0,0.0001551673859005322,5.510256110366947e-05,1.838924766685579e-05
2016-01-29 11:00:00,7.288566367885819e-05,7.373346608773451e-06,0.00012836635100624256,2.7816205593849087e-05,1.5167645092864906e-05
2016-01-29 12:00:00,6.137917489144275e-05,1.4889591138843714e-05,5.330107802602859e-05,8.285007080989664e-06,1.2170916043251568e-05
2016-01-29 13:00:00,5.028580475669486e-05,3.156084488219554e-05,0.0001231842575566304,7.542652629090968e-05,8.892541572906423e-06
2016-01-29 14:00:00,3.663352872828006e-05,2.797939293436014e-05,0.0006298794840475659,5.822780206791346e-05,6.187601529499905e-06
2016-01-29 15:00:00,2.6829470676464543e-05,2.4774863050051662e-05,0.000722348504091774,3.3858860468564124e-05,3.3050775231786492e-06
2016-01-29 16:00:00,1.5929957064911002e-05,1.6670075446973147e-05,0.00031710764082992337,1.522552163757206e-05,1.4197638992562082e-06
2016-01-29 17:00:00,7.65726422849541e-06,7.53052000176208e-05,0.0002229686352352166,1.9043509045100282e-05,0.00013052080325495012
2016-01-29 18:00:00,4.079997964431924e-05,0.00012043205445962675,0.0001656293283805654,0.0001087599392192326,0.00010724309594432486
2016-01-29 19:00:00,9.039403458054885e-05,7.754462734087912e-05,0.0001299853942622375,6.394811124761854e-05,6.424515615874851e-05
2016-01-29 20:00:00,2.2376916208428096e-05,2.6148692102111327e-05,9.51253064664881e-05,2.0834903674104758e-05,3.01248454258753e-05
2016-01-29 21:00:00,1.9309215067556877e-05,4.1613564690937344e-05,9.466489357744571e-05,7.072239468088295e-05,0.0003764363936791229
2016-01-29 22:00:00,1.8669307360264197e-05,4.207690614832592e-05,8.93003127315199e-05,0.00011081718996194416,0.000144464113339903
